BEN-PR-005,REMEDY_02,REMEDY 02,Shingrix vaccine,Covered for eligible members as defined by DHA and limited to vaccine and administration cost,Eligibility: Non-LSB Dubai Visa members only. Note: Subject to DHA eligibility criteria. Curated from Remedy 02 extract.
BEN-PR-401,REMEDY_06,NGI Healthnet – Remedy 06,Essential vaccinations and inoculations,Covered up to AED 100 for newborn and child vaccinations as stipulated by DHA and MOH guidance,Curated from Remedy 06 extract.
BEN-PR-402,REMEDY_06,NGI Healthnet – Remedy 06,Preventive services vaccines and immunizations,Covered,Curated from Remedy 06 extract.
BEN-PR-403,REMEDY_06,NGI Healthnet – Remedy 06,Adult pneumococcal conjugate vaccine,Covered,Eligibility: Dubai Visa members only. Curated from Remedy 06 extract.
BEN-PR-404,REMEDY_06,NGI Healthnet – Remedy 06,Influenza vaccine,Covered once per year limited to vaccine and administration cost,Eligibility: Dubai Visa members only. Curated from Remedy 06 extract.
BEN-PR-405,REMEDY_06,NGI Healthnet – Remedy 06,Shingrix vaccine,Covered for members satisfying DHA eligibility criteria; limited to vaccine cost and administration only,For Non-LSB Dubai Visa Members only. Curated from Remedy 06 extract.
BEN-PR-406,HN_CLASSIC_2R,HN Classic Plan-2R,Essential vaccinations and inoculations,Essential vaccinations and inoculations for newborns and children as stipulated in the DHAs policies and its updates in the assigned facilities (currently the same as Federal MOH) are covered,
BEN-PR-407,HN_CLASSIC_2R,HN Classic Plan-2R,"Diabetes screening (Frequency restricted to: Diabetes: Every 3 years from age 30, High risk individuals annually from age 18)","Covered as per terms, conditions and exclusions of the program defined by DHA",
BEN-PR-408,HN_CLASSIC_2R,HN Classic Plan-2R,Adult Pneumococcal Conjugate Vaccine,"Covered as per terms, conditions and exclusions of the program defined by DHA",
BEN-PR-409,HN_CLASSIC_2R,HN Classic Plan-2R,Influenza Vaccine,Covered once per annum“Limited to the cost of the vaccine and its administration only”,
BEN-PR-410,HN_CLASSIC_2R,HN Classic Plan-2R,Shingrix Vaccine (For NLSB members DXB visa holders),Covered only for members satisfying the eligibility criteria set by DHA. Limited to the cost of the vaccine and its administration only.,
BEN-PR-411,HN_CLASSIC_2,HN Classic Plan-2,Essential vaccinations and inoculations,Essential vaccinations and inoculations for newborns and children as stipulated in the DHAs policies and its updates in the assigned facilities (currently the same as Federal MOH) are covered,
BEN-PR-412,HN_CLASSIC_2,HN Classic Plan-2,"Diabetes screening (Frequency restricted to: Diabetes: Every 3 years from age 30, High risk individuals annually from age 18)","Covered as per terms, conditions and exclusions of the program defined by DHA",
BEN-PR-413,HN_CLASSIC_2,HN Classic Plan-2,Adult Pneumococcal Conjugate Vaccine,"Covered as per terms, conditions and exclusions of the program defined by DHA",
BEN-PR-414,HN_CLASSIC_2,HN Classic Plan-2,Influenza Vaccine,Covered once per annum“Limited to the cost of the vaccine and its administration only”,
BEN-PR-415,HN_CLASSIC_2,HN Classic Plan-2,Shingrix Vaccine (For NLSB members DXB visa holders),Covered only for members satisfying the eligibility criteria set by DHA. Limited to the cost of the vaccine and its administration only.,
BEN-PR-416,HN_CLASSIC_3,HN Classic Plan-3,Essential vaccinations and inoculations,Essential vaccinations and inoculations for newborns and children as stipulated in the DHAs policies and its updates in the assigned facilities (currently the same as Federal MOH) are covered,
BEN-PR-417,HN_CLASSIC_3,HN Classic Plan-3,"Diabetes screening (Frequency restricted to: Diabetes: Every 3 years from age 30, High risk individuals annually from age 18)","Covered as per terms, conditions and exclusions of the program defined by DHA",
BEN-PR-418,HN_CLASSIC_3,HN Classic Plan-3,Adult Pneumococcal Conjugate Vaccine,"Covered as per terms, conditions and exclusions of the program defined by DHA",
BEN-PR-419,HN_CLASSIC_3,HN Classic Plan-3,Influenza Vaccine,Covered once per annum“Limited to the cost of the vaccine and its administration only”,
BEN-PR-420,HN_CLASSIC_3,HN Classic Plan-3,Shingrix Vaccine (For NLSB members DXB visa holders),Covered only for members satisfying the eligibility criteria set by DHA. Limited to the cost of the vaccine and its administration only.,
BEN-PR-421,HN_CLASSIC_4,HN Classic Plan-4,Essential vaccinations and inoculations,Essential vaccinations and inoculations for newborns and children as stipulated in the DHAs policies and its updates in the assigned facilities (currently the same as Federal MOH) are covered,
BEN-PR-422,HN_CLASSIC_4,HN Classic Plan-4,"Diabetes screening (Frequency restricted to: Diabetes: Every 3 years from age 30, High risk individuals annually from age 18)","Covered as per terms, conditions and exclusions of the program defined by DHA",
BEN-PR-423,HN_CLASSIC_4,HN Classic Plan-4,Adult Pneumococcal Conjugate Vaccine,"Covered as per terms, conditions and exclusions of the program defined by DHA",
BEN-PR-424,HN_CLASSIC_4,HN Classic Plan-4,Influenza Vaccine,Covered once per annum“Limited to the cost of the vaccine and its administration only”,
BEN-PR-425,HN_CLASSIC_4,HN Classic Plan-4,Shingrix Vaccine (For NLSB members DXB visa holders),Covered only for members satisfying the eligibility criteria set by DHA. Limited to the cost of the vaccine and its administration only.,
BEN-PR-426,HN_CLASSIC_1R,HN Classic Plan-1R,Essential vaccinations and inoculations,Essential vaccinations and inoculations for newborns and children as stipulated in the DHAs policies and its updates in the assigned facilities (currently the same as Federal MOH) are covered,
BEN-PR-427,HN_CLASSIC_1R,HN Classic Plan-1R,"Diabetes screening (Frequency restricted to: Diabetes: Every 3 years from age 30, High risk individuals annually from age 18)","Covered as per terms, conditions and exclusions of the program defined by DHA",
BEN-PR-428,HN_CLASSIC_1R,HN Classic Plan-1R,Adult Pneumococcal Conjugate Vaccine,"Covered as per terms, conditions and exclusions of the program defined by DHA",
BEN-PR-429,HN_CLASSIC_1R,HN Classic Plan-1R,Influenza Vaccine,Covered once per annum“Limited to the cost of the vaccine and its administration only”,
BEN-PR-430,HN_CLASSIC_1R,HN Classic Plan-1R,Shingrix Vaccine (For NLSB members DXB visa holders),Covered only for members satisfying the eligibility criteria set by DHA. Limited to the cost of the vaccine and its administration only.,
